abbreviation,replacement
duh.,duhok
duisburg-e.,duisburg-essen
duke-n.,duke-nus
dun.,dundee
dune.,dunedin
dup.,dupont
durg.,durgapur
dus.,dusseldorf
dusseld.,dusseldorf
dut.,dutch
dyes.,dyestuff
dyn.,dynamics
dyna.,dynamics
dynam.,dynamics
dynami.,dynamics
dynamique.,dynamiques
dysfunct.,dysfunction
dystrop.,dystrophy
dzi.,dzieci
dzie.,dzieci
dziec.,dzieci
dzieci.,dzieciecej
dziecie.,dzieciecej
dzieciec.,dzieciecej
déf.,défense
dém.,démographiques
démogr.,démographiques
dép.,département
départ.,département
département.,départemental
dév.,développement
dével.,développement
dévelop.,développement
développ.,développement
día.,díaz
d’astrophys.,d’astrophysique
d’ecol.,d’ecologie
d’eng.,d’enginyeria
d’immunol.,d’immunologie
d’info.,d’informatique
e-bus.,e-business
e-com.,e-commerce
e-comm.,e-commerce
e-i.,e-institute
e-inst.,e-institute
e-res.,e-research
e-s.,e-science
e-sci.,e-science
eag.,eagle
ean.,eandp
ear.,earth
earl.,early
earle.,earley
earth.,earthquake
earth/atmos.,earth/atmospheric
earth/atmosph.,earth/atmospheric
earth/envi.,earth/environmental
earth/envir.,earth/environmental
earth/environ.,earth/environmental
earth/planet.,earth/planetary
earthq.,earthquake
eas.,east
east.,eastern
eastb.,eastbourne
eat.,eating
eaton-p.,eaton-peabody
eau.,eaux
eberhard-k.,eberhard-karls
eberhard-karls-u.,eberhard-karls-university
eberhard-karls-univ.,eberhard-karls-university
eberhard-karls-unive.,eberhard-karls-university
ebr.,ebro
ec1.,ec1a
eca.,ecampus
ecc.,eccles
eccel.,eccellenza
eccell.,eccellenza
ece.,ecevit
ech.,echocardiography
echo.,echocardiography
echocardiog.,echocardiography
echocardiogr.,echocardiography
echocardiograp.,echocardiography
eci.,ecit
ecm.,ecmwf
eco-chem.,eco-chemical
eco-e.,eco-environmental
eco-env.,eco-environmental
eco-envi.,eco-environmental
eco-envir.,eco-environmental
eco-enviro.,eco-environmental
eco-environ.,eco-environmental
eco-environm.,eco-environmental
eco-mat.,eco-materials
eco-res.,eco-restoration
eco.,economics
ecobi.,ecobio
ecoc.,ecochemistry
ecochem.,ecochemistry
ecofis.,ecofisiologia
ecofisiol.,ecofisiologia
ecog.,ecogenomics
ecohydro.,ecohydrology
ecoinfo.,ecoinformatics
ecol.,ecology
ecolo.,ecology
ecolog.,ecology
ecom.,ecomaterials
ecomat.,ecomaterials
econ.,economics
econo.,economics
econom.,economics
economet.,econometrics
economic.,economics
economica.,economical
economie.,economies
economiq.,economiques
economique.,economiques
económ.,económicas
económica.,económicas
ecophy.,ecophysiology
ecophys.,ecophysiology
ecophysiol.,ecophysiology
ecos.,ecosystem
ecosci.,ecosciences
ecosis.,ecosistemas
ecosist.,ecosistemas
ecosy.,ecosystem
ecosys.,ecosystem
ecosyst.,ecosystem
ecosystem.,ecosystems
ecot.,ecotoxicology
ecotox.,ecotoxicology
ecotoxic.,ecotoxicology
ecotoxicol.,ecotoxicology
ecou.,ecoulements
ecoul.,ecoulements
ecoule.,ecoulements
ecs.,ecse
ecu.,ecuador
ecua.,ecuador
ecuac.,ecuaciones
ecuacion.,ecuaciones
ecuad.,ecuador
eda.,edafologia
edaf.,edafologia
edafol.,edafologia
ede.,edebiyat
edeb.,edebiyat
edge.,edgewood
edh.,edhec
edi.,edinburgh
edif.,edificio
edifi.,edificio
edil.,edile
edin.,edinburgh
edinb.,edinburgh
edinbu.,edinburgh
edit.,edith
edito.,editorial
editor.,editorial
edm.,edmonton
edo.,edouard
edouard-h.,edouard-herriot
edu.,education
eduard-zintl-i.,eduard-zintl-institut
eduard-zintl-inst.,eduard-zintl-institut
educ.,education
educa.,education
educac.,educacion
educacion.,educacional
educat.,education
education.,educational
edw.,edward
edward.,edwards
edwards.,edwardsville
eenh.,eenheid
eerst.,eerstelijnsgeneeskunde
eerstel.,eerstelijnsgeneeskunde
eerstelijn.,eerstelijnsgeneeskunde
eerstelijnsgeneesk.,eerstelijnsgeneeskunde
eff.,effects
effec.,effects
effect.,effects
effective.,effectiveness
effi.,efficient
effic.,efficient
effici.,efficient
ege.,egerton
eger.,egerton
egi.,egitim
egit.,egitim
egli.,eglin
egy.,egyetem
egyet.,egyetem
egyetem.,egyetemi
egyp.,egypt
egypt.,egyptian
eid.,eidgenossische
eidg.,eidgenossische
eidge.,eidgenossische
eidgen.,eidgenossische
eidgeno.,eidgenossische
eidgenos.,eidgenossische
eidgenoss.,eidgenossische
eidgenossi.,eidgenossische
eidgenossisch.,eidgenossische
eidgenöss.,eidgenössische
eijkman-w.,eijkman-winkler
ein.,einstein
eind.,eindhoven
eindh.,eindhoven
einr.,einrichtungen
einrich.,einrichtungen
einricht.,einrichtungen
einrichtung.,einrichtungen
eisen.,eisenforschung
eisenforsch.,eisenforschung
ekis.,ekisaikai
eko.,ekonomi
ekol.,ekologii
ekolog.,ekologii
ekologi.,ekologii
ekon.,ekonomi
ekono.,ekonomi
ekonom.,ekonomi
el-m.,el-minia
el-s.,el-sheikh
elab.,elaborazione
elabo.,elaborazione
elaboraz.,elaborazione
elan.,elanco
elc.,elche
elder.,elderly
ele.,electrical
elec.,electrical
elect.,electrical
electr.,electrical
electri.,electrical
electric.,electrical
electrica.,electrical
electrical-electr.,electrical-electronics
electrical-electron.,electrical-electronics
electrical.,electricals
electrical/com.,electrical/computer
electrical/comp.,electrical/computer
electrical/comput.,electrical/computer
electrical/elec.,electrical/electronic
electrical/electr.,electrical/electronic
electrical/electro.,electrical/electronic
electrical/electron.,electrical/electronic
electricida.,electricidad
electrificat.,electrification
electriq.,electrique
electrique.,electriques
electro-c.,electro-communications
electro-com.,electro-communications
electro-comm.,electro-communications
electro-commun.,electro-communications
electro-communi.,electro-communications
electro-communication.,electro-communications
electro-m.,electro-mechanical
electro-mech.,electro-mechanical
electro-o.,electro-optical
electro-opt.,electro-optical
electro-optic.,electro-optical
electro.,electronic
electroanal.,electroanalytical
electroanalyt.,electroanalytical
electroanalytic.,electroanalytical
electrocard.,electrocardiology
electrocardio.,electrocardiology
electrocardiol.,electrocardiology
electroch.,electrochemistry
electrochem.,electrochemistry
electrochim.,electrochimie
electrod.,electrodynamics
electrodyn.,electrodynamics
electrodynam.,electrodynamics
electroencephal.,electroencephalography
electroencephalogr.,electroencephalography
electroencephalograph.,electroencephalography
electrol.,electrolyte
electrolyt.,electrolyte
electrom.,electromagnetic
electromag.,electromagnetic
electromagn.,electromagnetic
electromagnet.,electromagnetic
electromagnét.,electromagnétique
electromat.,electromaterials
electromec.,electromechanical
electromech.,electromechanical
electromechan.,electromechanical
electron.,electronic
electroni.,electronic
electronic.,electronics
electronica.,electronical
electronique.,electroniques
electroph.,electrophysiology
electrophy.,electrophysiology
electrophys.,electrophysiology
electrophysio.,electrophysiology
electrophysiol.,electrophysiology
electroquím.,electroquímica
electrosc.,electroscience
electrosci.,electroscience
electrostat.,electrostatic
electrot.,electrotechnical
electrotec.,electrotechnical
electrotech.,electrotechnical
electrotechn.,electrotechnical
electrotechno.,electrotechnology
electrotechnol.,electrotechnology
electròn.,electrònica
electrón.,electrónica
elek.,elektronik
elekt.,elektronik
elektr.,elektronik
elektrik-elektron.,elektrik-elektronik
elektro.,elektronik
elektroch.,elektrochemie
elektrochem.,elektrochemie
elektron.,elektronik
elektronen-s.,elektronen-synchrotron
elektronen-sync.,elektronen-synchrotron
elektronen-synchr.,elektronen-synchrotron
elektronen-synchrot.,elektronen-synchrotron
elektronenmikros.,elektronenmikroskopie
elektronenmikrosk.,elektronenmikroskopie
elektronenphys.,elektronenphysik
elektronik.,elektroniki
elektrot.,elektrotechnik
elektrotech.,elektrotechnik
elektrotechn.,elektrotechnik
elektrotechnik.,elektrotechniki
elektrotehn.,elektrotehniko
elem.,elementary
element.,elementary
elemento-o.,elemento-organic
elemento-org.,elemento-organic
elemento-organ.,elemento-organic
elementol.,elementology
elet.,elettronica
eletr.,eletrica
eletric.,eletrica
eletrôn.,eletrônica
elett.,elettronica
elettr.,elettronica
elettric.,elettrica
elettro.,elettronica
elettrochim.,elettrochimica
elettromag.,elettromagnetiche
elettromagn.,elettromagnetiche
elettromagnet.,elettromagnetiche
elettron.,elettronica
elettrot.,elettrotecnica
elettrotec.,elettrotecnica
elettrotecn.,elettrotecnica
elettrotecni.,elettrotecnica
elim.,elimination
elis.,elisabeth
elisabeth-k.,elisabeth-krankenhaus
elisabeth-krankenh.,elisabeth-krankenhaus
elisabeth.,elisabethinen
eliz.,elizabeth
elizabeth.,elizabeths
elm.,elmhurst
elo.,elon
eloi.,eloisa
els.,elsevier
else.,elsevier
elst.,elstner
elt.,elte
ely.,elyakov
elé.,eléctrica
eléc.,eléctrica
eléct.,eléctrica
eléctr.,eléctrica
eléctrica.,eléctricas
elét.,elétrica
eman.,emanuel
emat.,ematologia
emato.,ematologia
ematol.,ematologia
ematolog.,ematologia
emb.,embryology
embr.,embryology
embriol.,embriologia
embriolog.,embriologia
embry.,embryology
embryo.,embryology
embryol.,embryology
embryolog.,embryology
embryon.,embryonic
emc.,emcore
eme.,emergency
emer.,emergency
emerg.,emergency
emerge.,emergency
emergen.,emergency
emergin.,emerging
emeri.,emeritus
emerit.,emeritus
emg.,emgo
emi.,emilia
emilia-r.,emilia-romagna
emir.,emirates
emirate.,emirates
emiss.,emission
emission.,emissions
emm.,emma
emodinam.,emodinamica
emot.,emotion
emp.,empresa
empir.,empirical
empiris.,empirische
empl.,employment
employ.,employment
employm.,employment
empow.,empowerment
empr.,empresa
empre.,empresa
empres.,empresa
empresa.,empresas
empresari.,empresariales
empresarial.,empresariales
emul.,emulsion
ena.,enabling
enb.,enbridge
enc.,enclave
ence.,encephalopathy
encephal.,encephalopathy
encephalo.,encephalopathy
encephalopath.,encephalopathy
end-of-l.,end-of-life
end.,endocrinology
endan.,endangered
endanger.,endangered
endem.,endemic
endo.,endocrinology
endoc.,endocrinology
endocr.,endocrinology
endocri.,endocrinology
endocrin.,endocrinology
endocrine-hyperten.,endocrine-hypertension
endocrine-metab.,endocrine-metabolic
endocrinienne.,endocriniennes
endocrino.,endocrinology
endocrinol.,endocrinology
endocrinolog.,endocrinology
endocrinologica.,endocrinological
endocrinology/met.,endocrinology/metabolism
endocrinology/metab.,endocrinology/metabolism
endocrinology/metabo.,endocrinology/metabolism
endocrinology/metabol.,endocrinology/metabolism
endod.,endodontics
endodon.,endodontics
endodont.,endodontics
endodontol.,endodontology
endok.,endokrinologie
endokr.,endokrinologie
endokrin.,endokrinologie
endokrinol.,endokrinologie
endokrinolo.,endokrinologie
endokrinolog.,endokrinologie
endokryn.,endokrynologii
endokrynol.,endokrynologii
endokrynolog.,endokrynologii
endos.,endoscopy
endosc.,endoscopy
endoscop.,endoscopy
endosk.,endoskopie
endoskop.,endoskopie
endovas.,endovascular
endovasc.,endovascular
endow.,endowed
ene.,energy
ener.,energy
energ.,energy
energet.,energetics
energetica.,energeticas
energetich.,energeticheskij
energetiq.,energetique
energia.,energias
energie.,energies
energies.,energiesysteme
energiesys.,energiesysteme
energiesyst.,energiesysteme
energietec.,energietechnik
energietech.,energietechnik
energética.,energéticas
energétique.,energétiques
energía.,energías
enf.,enfermedades
enfant.,enfants
enfek.,enfeksiyon
enfeks.,enfeksiyon
enfer.,enfermedades
enferm.,enfermedades
enfermag.,enfermagem
enferme.,enfermedades
enfermed.,enfermedades
enfo.,enforcement
enforc.,enforcement
enforcem.,enforcement
eng.,engineering
enga.,engagement
enge.,engenharia
engee.,engeering
engen.,engenharia
engenharia.,engenharias
engi.,engineering
engin.,engineering
engine.,engineering
enginee.,engineering
engineer.,engineering
engineering-.,engineering-systems
engineering-sys.,engineering-systems
engineering-syst.,engineering-systems
engineering.,engineerings
engl.,england
engler-bunte-i.,engler-bunte-institut
engler-bunte-inst.,engler-bunte-institut
engn.,engneering
engneer.,engneering
engr.,engrg
enh.,enhancement
enhan.,enhancement
enhanc.,enhancement
enhance.,enhancement
enhancem.,enhancement
enhet.,enheten
eni.,enid
enn.,enna
eno.,enology
enol.,enology
enp.,enpc
enr.,enrico
ens.,ensino
ensa.,ensam
ensc.,enscm
enscm.,enscmu
enscp.,enscpb
ense.,ensenada
ensem.,ensemble
ensen.,ensenada
enseñ.,enseñanza
ensi.,ensino
ensia.,ensias
ensic.,ensicaen
enst.,ensta
ensti.,enstib
ent.,entomology
ente.,enterprise
enter.,enterprise
entero.,enterovirus
enterp.,enterprise
enterpr.,enterprise
enterpri.,enterprise
enterprise.,enterprises
entit.,entity
ento.,entomology
entom.,entomology
entomo.,entomology
entomol.,entomology
entomolog.,entomology
entr.,entrepreneurship
entre.,entrepreneurship
entrep.,entrepreneurship
entrepren.,entrepreneurship
entrepreneur.,entrepreneurship
entrepreneurs.,entrepreneurship
entw.,entwicklung
entwick.,entwicklung
entwickl.,entwicklung
entwicklung.,entwicklungsbiologie
entwicklungs.,entwicklungsbiologie
entwicklungsb.,entwicklungsbiologie
entwicklungsbio.,entwicklungsbiologie
entwicklungsbiol.,entwicklungsbiologie
env.,environmental
enve.,envejecimiento
envi.,environmental
envir.,environmental
enviro.,environmental
envirom.,enviromental
environ.,environmental
environm.,environmental
environme.,environmental
environmen.,environmental
environment.,environmental
environmental.,environmentally
environn.,environnement
environnem.,environnement
environnement.,environnements
environnementale.,environnementales
enz.,enzyme
enzimol.,enzimologia
enzym.,enzyme
enzymat.,enzymatique
enzyme.,enzymes
enzymol.,enzymology
epa.,epatologia
epar.,epartment
epat.,epatologia
epatol.,epatologia
epatolog.,epatologia
epi.,epidemiology
epid.,epidemiology
epide.,epidemiology
epidem.,epidemiology
epidemio.,epidemiology
epidemiol.,epidemiology
epidemiolo.,epidemiology
epidemiolog.,epidemiology
epidemiologi.,epidemiologia
epidemiology/b.,epidemiology/biostatistics
epidemiology/biostat.,epidemiology/biostatistics
epidemiology/biostatist.,epidemiology/biostatistics
epidemiológica.,epidemiológicas
epidémiol.,epidémiologie
epigen.,epigenetics
epigenet.,epigenetics
epil.,epilepsy
epilep.,epilepsy
epileps.,epilepsy
epilepsiezent.,epilepsiezentrum
epilept.,epileptology
epileptol.,epileptology
episc.,episcopal
episcop.,episcopal
epistemol.,epistemology
epit.,epithelial
epith.,epithelial
epithel.,epithelial
epizo.,epizootiology
epizoot.,epizootiology
epizootiol.,epizootiology
epp.,eppendorf
epr.,epri
eps.,epsrc
equ.,equipment
equal.,equality
equat.,equations
equi.,equipment
equip.,equipment
equipm.,equipment
equipment.,equipments
equit.,equity
era.,erasmus
erad.,eradication
eradic.,eradication
eradicat.,eradication
erasm.,erasmus
erb.,erbakan
erba.,erbakan
erc.,erciyes
erd.,erdogan
erev.,erevan
erfors.,erforschung
erforsch.,erforschung
erg.,ergonomics
ergo.,ergonomics
ergon.,ergonomics
ergonom.,ergonomics
eri.,ericsson
eric.,ericsson
erk.,erkrankungen
erkr.,erkrankungen
erkrank.,erkrankungen
erkrankun.,erkrankungen
erkrankung.,erkrankungen
erl.,erlangen
erlangen-n.,erlangen-nuremberg
erlangen-nurn.,erlangen-nurnberg
erlangen/n.,erlangen/nurnberg
ern.,ernst
erne.,ernest
ernes.,ernest
ernest.,ernesto
ernst-moritz-a.,ernst-moritz-arndt
ernst-moritz-arndt-u.,ernst-moritz-arndt-university
ernst-moritz-arndt-univ.,ernst-moritz-arndt-university
ernst-moritz-arndt-univers.,ernst-moritz-arndt-university
ernährung.,ernährungsphysiologie
ernährungswiss.,ernährungswissenschaft
ernährungswissensch.,ernährungswissenschaft
ero.,erosion
eros.,erosion
err.,errors
erro.,errors
ers.,ersoy
erst.,ersta
erw.,erwin
erz.,erzincan
erzieh.,erziehungswissenschaft
erziehungswiss.,erziehungswissenschaft
erziehungswissens.,erziehungswissenschaft
erziehungswissensch.,erziehungswissenschaft
esa-e.,esa-estec
esa.,esat
esal.,esalq
esc.,escuela
esch.,escherichia
escherich.,escherichia
esco.,escola
escola.,escolar
escu.,escuela
escue.,escuela
ese.,esentepe
esh.,eshelman
eshel.,eshelman
esi.,esiee
esk.,eskisehir
eso.,esophageal
esp.,espci
espa.,espaciais
espac.,espaciais
espacial.,espacials
espan.,espana
espanol.,espanola
espc.,espci
espe.,especialidades
espec.,especialidades
especi.,especialidades
especial.,especialidades
especiali.,especialidades
especialidad.,especialidades
especialist.,especialista
especializ.,especializada
espectr.,espectroscopia
espectro.,espectroscopia
espectrosc.,espectroscopia
esper.,esperanza
espl.,esplanade
espo.,esporte
esport.,esporte
esq.,esquirol
esqu.,esquirol
esri.,esrin
ess.,essen
essen-m.,essen-mitte
essen.,essential
essent.,essential
est.,estadual
esta.,estadual
estab.,establishment
establ.,establishment
establis.,establishment
establish.,establishment
establishm.,establishment
estac.,estacion
estad.,estadual
estadis.,estadistica
estadist.,estadistica
estai.,estaing
estat.,estate
estate.,estates
estati.,estatistica
estatist.,estatistica
estatíst.,estatística
este.,estec
esth.,esthetic
esthet.,esthetic
esto.,estonian
estom.,estomatologia
estomatol.,estomatologia
eston.,estonian
estonia.,estonian
estr.,estructura
estrat.,estratigrafia
estratig.,estratigrafia
estratigr.,estratigrafia
estratigraf.,estratigrafia
estru.,estructura
estruc.,estructura
estruct.,estructura
estructur.,estructura
estructura.,estructural
estrut.,estrutural
estu.,estudios
estuar.,estuarine
estud.,estudios
estudo.,estudos
eta.,etablissement
etab.,etablissement
etabl.,etablissement
etablis.,etablissement
etabliss.,etablissement
etablisse.,etablissement
etablissem.,etablissement
etc.,etcheverry
eth-z.,eth-zentrum
eth-zent.,eth-zentrum
eth-zentr.,eth-zentrum
eth.,ethics
ethic.,ethics
ethiop.,ethiopian
ethiopia.,ethiopian
ethn.,ethnic
ethnobot.,ethnobotany
ethnogr.,ethnography
ethnol.,ethnology
ethnomed.,ethnomedicine
ethnopharmacol.,ethnopharmacology
etho.,ethology
ethol.,ethology
eti.,etienne
etio.,etiology
etiol.,etiology
etiolo.,etiology
etr.,etri
ets.,etsi
etse.,etseib
etsi.,etsii
etsii.,etsiit
etu.,etudes
etud.,etudes
etude.,etudes
euc.,euclid
eucar.,eucaryotes
eug.,eugene
eukar.,eukaryotic
eukaryot.,eukaryotic
eur.,european
euratom-a.,euratom-association
euratom-ass.,euratom-association
euratom-assoc.,euratom-association
euratom-c.,euratom-cea
euratom-e.,euratom-enea
euratom-f.,euratom-fom
euratom/c.,euratom/ccfe
euro-med.,euro-mediterranean
euro-mediter.,euro-mediterranean
euro.,european
euroclin.,euroclinic
europ.,european
europe.,european
europea.,european
europee.,europeen
européenne.,européennes
eva.,evaluation
eval.,evaluation
evaluat.,evaluation
evaluation.,evaluations
evang.,evangelismos
evange.,evangelismos
evangel.,evangelismos
evangelis.,evangelismos
eve.,evelina
even.,events
event.,events
evi.,evidence
evid.,evidence
evidence-b.,evidence-based
evita.,evitar
evo.,evolutionary
evol.,evolutionary
evolu.,evolutionary
evolut.,evolutionary
evolution.,evolutionary
evolutionsbiol.,evolutionsbiologie
evoluz.,evoluzionistica
evoluzion.,evoluzionistica
evoluzionist.,evoluzionistica
exa.,exactas
exac.,exactas
exact.,exactas
exam.,examination
exami.,examination
examin.,examination
examinat.,examination
examination.,examinations
examiner.,examiners
exc.,excellence
exce.,excellence
excel.,excellence
excell.,excellence
except.,exceptional
exch.,exchange
exchang.,exchange
exe.,exercise
exec.,executive
execut.,executive
exer.,exercise
exerc.,exercise
exhib.,exhibition
exo.,exotic
exot.,exotic
exoti.,exotic
exp.,experimental
expan.,expanded
expe.,experimental
exped.,expedition
exper.,experimental
experi.,experimental
experience.,experiences
experim.,experimental
experime.,experimental
experimen.,experimental
experiment.,experimental
experimental.,experimentalphysik
experimentale.,experimentales
experimentalphys.,experimentalphysik
experimentat.,experimentation
expert.,expertise
expl.,exploration
explo.,exploration
exploit.,exploitation
exploitat.,exploitation
explor.,exploration
explorat.,exploration
exploration.,explorations
explos.,explosion
expo.,exposure
expos.,exposure
expr.,expression
expre.,expression
expres.,expression
express.,expression
expér.,expérimentale
expérim.,expérimentale
expériment.,expérimentale
expérimentale.,expérimentales
ext.,extension
exte.,extension
exten.,extension
extens.,extension
exter.,external
extern.,external
externa.,external
extr.,extremadura
extra.,extraterrestrische
extrac.,extraction
extracell.,extracellular
extracorp.,extracorporeal
extract.,extraction
extractiv.,extractive
extragal.,extragalactic
extram.,extramural
extramur.,extramural
extraord.,extraordinary
extrat.,extraterrestrische
extrater.,extraterrestrische
extraterr.,extraterrestrische
extraterre.,extraterrestrische
extraterres.,extraterrestrische
extraterrest.,extraterrestrische
extraterrestr.,extraterrestrische
extraterrestri.,extraterrestrische
extrem.,extremadura
extreme.,extremes
exxon.,exxonmobil
eǧi.,eǧitim
eǧit.,eǧitim
fab.,fabra
fabr.,fabra
fabric.,fabrication
fabricat.,fabrication
fac.,faculty
face.,facebook
fach.,fachbereich
facharz.,facharzt
fachb.,fachbereich
fachbe.,fachbereich
fachber.,fachbereich
fachbere.,fachbereich
fachberei.,fachbereich
fachbereich.,fachbereichs
fachg.,fachgebiet
fachgeb.,fachgebiet
fachgr.,fachgruppe
fachho.,fachhochschule
fachhoc.,fachhochschule
fachhoch.,fachhochschule
fachhochs.,fachhochschule
fachhochsc.,fachhochschule
fachhochsch.,fachhochschule
fachkl.,fachklinik
fachklin.,fachklinik
fachkr.,fachkrankenhaus
fachkrank.,fachkrankenhaus
fachkranken.,fachkrankenhaus
fachkrankenh.,fachkrankenhaus
fachr.,fachrichtung
fachrich.,fachrichtung
fachricht.,fachrichtung
faci.,facility
facil.,facility
facili.,facility
facilit.,facility
faco.,facolta
facol.,facolta
facolt.,facolta
fact.,factory
facu.,faculty
facul.,faculty
faculd.,faculdade
faculdad.,faculdade
faculdade.,faculdades
facult.,faculty
faculta.,facultad
facultad.,facultade
facultat.,facultatea
faculti.,faculties
faculté.,facultés
fae.,faenza
fail.,failure
fak.,fakulta
faku.,fakulta
fakul'tet.,fakul'teta
fakul.,fakulta
fakult.,fakulta
fakulta.,fakultat
fakultat.,fakultatea
fakultet.,fakulteta
fakü.,fakültesi
fakül.,fakültesi
fal.,falls
fam.,family
famil.,family
familia.,familiar
familie.,families
fap.,fapesp
far-e.,far-eastern
far-east.,far-eastern
far.,farmacia
farbenfabr.,farbenfabriken
farbw.,farbwerke
farm.,farmacia
farma.,farmacia
farmac.,farmacia
farmaceu.,farmaceutiche
farmaceut.,farmaceutiche
farmaceutic.,farmaceutiche
farmaceutica.,farmaceuticas
farmaco-c.,farmaco-chimico
farmaco-chim.,farmaco-chimico
farmaco.,farmacologia
farmacog.,farmacognosia
farmacogn.,farmacognosia
farmacognos.,farmacognosia
farmacol.,farmacologia
farmacolo.,farmacologia
farmacolog.,farmacologia
farmacéut.,farmacéuticas
farmacéutica.,farmacéuticas
farmacêut.,farmacêuticas
farmacêutica.,farmacêuticas
farmak.,farmakologii
farmakol.,farmakologii
farmakolog.,farmakologii
faro.,faroe
fas.,fashion
fat.,fatih
fateb.,fatebenefratelli
fateben.,fatebenefratelli
fatebene.,fatebenefratelli
fatebenef.,fatebenefratelli
fatebenefr.,fatebenefratelli
fatebenefra.,fatebenefratelli
fatebenefrat.,fatebenefratelli
faub.,faubourg
fault.,faulty
fav.,favaloro
faz.,fazzi
fca.,fcav
fce.,fceyn
fea.,featured
fed.,federal
fede.,federal
feder.,federal
federal.,federale
federat.,federation
fee.,feed
feed.,feeding
feg.,fegato
fei.,feinberg
fel.,fellow
feld.,feldkirch
fell.,fellow
fellow.,fellowship
fellows.,fellowship
fellowsh.,fellowship
fels.,felsenstein
fem.,female
fen-e.,fen-edebiyat
fen-ed.,fen-edebiyat
fen-ede.,fen-edebiyat
fen-edeb.,fen-edebiyat
fen.,feng
fer.,ferrara
ferd.,ferdowsi
ferdinand-braun-inst.,ferdinand-braun-institut
ferm.,fermi
fermen.,fermentation
ferment.,fermentation
fermenta.,fermentation
fermentac.,fermentaciones
fermentat.,fermentation
fernand-s.,fernand-seguin
fernand-w.,fernand-widal
ferr.,ferrara
ferri.,ferris
fert.,fertility
ferti.,fertility
fertig.,fertigungstechnik
fertigungst.,fertigungstechnik
fertigungstech.,fertigungstechnik
fertigungstechn.,fertigungstechnik
fertil.,fertility
fertili.,fertility
fertiliz.,fertilizer
fertilizat.,fertilization
fes.,festkorperforschung
fest.,festkorperforschung
festk.,festkorperforschung
festkorper.,festkorperforschung
festkorperf.,festkorperforschung
festkorperfors.,festkorperforschung
festkorperforsc.,festkorperforschung
festkorperforsch.,festkorperforschung
festkorperph.,festkorperphysik
festkorperphy.,festkorperphysik
festkorperphys.,festkorperphysik
festkörperelektron.,festkörperelektronik
festkörperf.,festkörperforschung
festkörperforsch.,festkörperforschung
festkörperphys.,festkörperphysik
festkörpertheor.,festkörpertheorie
fet.,fetal
fia.,fiat
fib.,fiber
fibr.,fibre
fibro-sci.,fibro-science
fibro.,fibrosis
fibros.,fibrosis
fic.,fictitious
fict.,fictitious
fid.,fidia
field.,fields
fig.,figueira
fij.,fiji
fil.,film
film.,films
filo.,filosofia
filol.,filologia
filos.,filosofia
filosof.,filosofia
filoz.,filozofski
filozof.,filozofski
fin.,finance
fina.,finance
finan.,finance
financ.,finance
finance.,finances
financier.,financiera
finanz.,finanzas
fingerpr.,fingerprinting
fingerprint.,fingerprinting
finish.,finishing
finn.,finnish
fiore.,fiorentino
fir.,first
fire.,firenze
firenz.,firenze
firm.,firma
fis.,fisica
fisc.,fiscal
fischer.,fischerei
fish.,fisheries
fisher.,fisheries
fisherie.,fisheries
fisi.,fisica
fisic.,fisica
fisica.,fisicas
fisico.,fisicoquimica
fisicoq.,fisicoquimica
fisicoquim.,fisicoquimica
fisicoquimica.,fisicoquimicas
fisicoquím.,fisicoquímica
fisicoquímica.,fisicoquímicas
fisio.,fisiologia
fisiol.,fisiologia
fisiolog.,fisiologia
fisiológica.,fisiológicas
fisiop.,fisiopatologia
fisiopat.,fisiopatologia
fisiopato.,fisiopatologia
fisiopatol.,fisiopatologia
fisiot.,fisioterapia
fisioter.,fisioterapia
fisioterap.,fisioterapia
fit.,fitotecnia
fitop.,fitopatologia
fitopat.,fitopatologia
fitopatol.,fitopatologia
fitos.,fitossanidade
fitot.,fitotecnia
fitotec.,fitotecnia
fitotecn.,fitotecnia
fitzp.,fitzpatrick
fiv.,five
fix.,fixed
fixat.,fixation
fiz.,fizyki
fizich.,fizicheskoj
fizik.,fiziki
fiziko-tekhn.,fiziko-tekhnicheskij
fiziko-tekhnich.,fiziko-tekhnicheskij
fiziol.,fiziologii
fiziolog.,fiziologii
fizj.,fizjologii
fizjo.,fizjologii
fizjol.,fizjologii
fizjolog.,fizjologii
fizjoter.,fizjoterapii
fizycz.,fizycznego
fla.,flanders
flan.,flanders
fland.,flanders
flandre.,flandres
flat.,flatiron
flec.,flechsig
fleisch.,fleischman
flex.,flexible
flo.,florida
float.,floating
flor.,florida
flores.,florestal
floresta.,florestal
flori.,florida
floric.,floriculture
floricult.,floriculture
florida/s.,florida/south
flow.,flowers
flu.,fluid
fluid.,fluids
flum.,fluminense
flumin.,fluminense
fluor.,fluorescence
fluores.,fluorescence
fluv.,fluvial
fluvi.,fluvial
fmi.,fmipa
fmr.,fmrp
fmrp-u.,fmrp-usp
fnsp.,fnspe
foc.,focus
foca.,focal
focu.,focus
focus.,focused
fog.,foggia
foi.,foix
fold.,folding
fom-inst.,fom-institute
fom.,fomento
fon.,fondazione
fonament.,fonamental
fonc.,fonctionnelle
fonct.,fonctionnelle
foncti.,fonctionnelle
fonctio.,fonctionnelle
fonction.,fonctionnelle
fonctionel.,fonctionelle
fonctionn.,fonctionnelle
fonctionnel.,fonctionnelle
fonctionnelle.,fonctionnelles
fonctionnem.,fonctionnement
fond.,fondazione
fonda.,fondazione
fondam.,fondamentale
